"No.","ページ","セクション","テキスト箇所","説明","文字数目安","記入欄"
"1","トップ","TOPヒーロー","ヒーロー キャッチコピー","採用サイトのメインメッセージ。Urumoのミッション・世界観が伝わる力強い一文。会社が何をしていて、何を目指しているかが凝縮された言葉。","10〜26文字",""
"2","トップ","TOPヒーロー","ヒーロー 本文コピー","キャッチコピーを補足するストーリー文。Urumoが解決しようとしている課題や市場背景を語り、求職者の共感を引き出す。","30〜55文字",""
"3","トップ","カルチャー","Culture セクション 見出し","Urumoのカルチャー・大切にしていることを紹介するセクションの見出し。Mission/Vision/Valuesにつながる導入文。","8〜24文字",""
"4","トップ","カルチャー","Culture セクション リード文","カルチャーセクションの補足説明。このセクションで何が分かるかを1〜2文で説明する。","25〜65文字",""
"5","トップ","サービス","提供サービス 見出し","Urumoが提供するサービス・プロダクトを紹介するセクション見出し。事業内容が一言でわかる表現。","8〜24文字",""
"6","トップ","サービス","提供サービス リード文","サービスセクションの補足。プロダクトが何で、誰のためのものか簡潔に説明する。","25〜65文字",""
"7","トップ","公式コンテンツ","記事タイトル（例）","社員インタビューや会社紹介記事のタイトル。実際の記事タイトルが入る。ブログ・note等で公開しているコンテンツのタイトルをそのまま使用。","4〜16文字",""
"8","トップ","記事コンテンツ","記事コンテンツ 見出し","オウンドメディア紹介セクションの大見出し。Note・Wantedly・開発者ブログ等をまとめて紹介するエリアのタイトル。","8〜24文字",""
"9","トップ","記事コンテンツ","記事コンテンツ リード文","記事コンテンツセクションの補足説明。Urumoのリアルを届けるメディア群の趣旨を1〜2文で紹介する。","25〜65文字",""
"10","トップ","記事コンテンツ","Recruiting Blog 説明文","Recruiting Blogの説明文。日常・仕事・カルチャーなどリアルな雰囲気が伝わる一文。","40〜100文字",""
"11","トップ","記事コンテンツ","Wantedly 説明文","Wantedlyストーリーの説明文。若手社員視点のリアルを伝えるコンテンツとして紹介する。","40〜100文字",""
"12","トップ","記事コンテンツ","Developer Blog 説明文","技術ブログの説明文。エンジニア向けにUrumoの技術スタック・取り組みを伝える場として紹介。","40〜100文字",""
"13","トップ","記事コンテンツ","Re:CoLab 説明文","Re:CoLabの説明文。リテール産業の未来を共に考えるオウンドメディアとして紹介。","40〜100文字",""
"14","トップ","福利厚生","福利厚生・制度 見出し","福利厚生・制度セクションの見出し。安心して働ける環境を一言で表す。","8〜24文字",""
"15","トップ","福利厚生","福利厚生・制度 リード文","福利厚生セクションの補足文。メンバーが安心して働ける環境づくりへの想いを1〜2文で表現。","25〜65文字",""
"16","トップ","募集職種","募集職種 見出し","現在募集中のポジションを紹介するセクションの見出し。","8〜24文字",""
"17","トップ","募集職種","募集職種 リード文","募集職種セクションの補足文。多様なポジションに挑戦できることや、スキルを活かせる環境を伝える一文。","25〜65文字",""
"18","トップ","会社紹介資料","会社紹介資料 見出し","会社紹介資料ダウンロードセクションの見出し。","8〜24文字",""
"19","トップ","会社紹介資料","会社紹介資料 説明文","資料の内容と活用シーン（選考前の情報収集など）を説明する補足文。","40〜100文字",""
"20","トップ","フッターCTA","フッター CTA 見出し","ページ最下部の応募誘導エリアの大見出し。「一緒に働こう」という気持ちを引き出すメッセージ。","12〜28文字",""
"21","トップ","フッターCTA","フッター CTA 本文","CTAの補足文。応募へのハードルを下げる一文。「まずは話を聞くだけでもOK」というニュアンスがあると良い。","25〜60文字",""
"22","新卒採用","ヒーロー","ヒーロー キャッチコピー","新卒採用ページのメインコピー。「なぜ新卒でUrumoに入るのか」という問いへの答えになる言葉。学生が共感・ワクワクできる表現。","10〜26文字",""
"23","新卒採用","ヒーロー","ヒーロー リード文","キャッチコピーを補足する文章。Urumoで新卒として働く意味・環境・可能性を具体的に伝える。","30〜55文字",""
"24","新卒採用","Why Urumo","Why Urumo 01 タイトル","Urumoを選ぶ理由①のタイトル。端的に魅力を表す見出し。","4〜16文字",""
"25","新卒採用","Why Urumo","Why Urumo 01 説明文","理由①の補足説明。具体的なエピソードや数字を交えて説得力を持たせる。","40〜100文字",""
"26","新卒採用","Why Urumo","Why Urumo 02 タイトル","Urumoを選ぶ理由②のタイトル。","4〜16文字",""
"27","新卒採用","Why Urumo","Why Urumo 02 説明文","理由②の補足説明。","40〜100文字",""
"28","新卒採用","Why Urumo","Why Urumo 03 タイトル","Urumoを選ぶ理由③のタイトル。","4〜16文字",""
"29","新卒採用","Why Urumo","Why Urumo 03 説明文","理由③の補足説明。","40〜100文字",""
"30","新卒採用","先輩の声","先輩の声 コメント（1人目）","社員インタビューから引用する印象的な一言。読んだ人が「話を聞いてみたい」と思えるコメント。","60〜130文字",""
"31","新卒採用","先輩の声","先輩の声 コメント（2人目）","2人目の社員コメント。1人目と異なる視点・職種からの声にすると幅が出る。","60〜130文字",""
"32","新卒採用","先輩の声","先輩の声 コメント（3人目）","3人目の社員コメント。","60〜130文字",""
"33","新卒採用","Why Urumo","Why Urumo セクション 見出し","「Urumoで働く、○つの理由」など、Why Urumoセクションの大見出し。","8〜24文字",""
"34","新卒採用","Why Urumo","Why Urumo セクション リード文","Urumoを選ぶ理由を紹介するセクションの補足文。スタートアップの魅力と環境を伝える一文。","25〜65文字",""
"35","新卒採用","採用ポジション","採用ポジション セクション 見出し","「新卒採用ポジション」など、募集職種を紹介するセクションの大見出し。","8〜24文字",""
"36","新卒採用","採用ポジション","採用ポジション セクション リード文","ポジション数・対象者などを端的に説明する補足文。","25〜65文字",""
"37","新卒採用","採用ポジション","ビジネス職 タイトル","ビジネス職カードのポジション名。","4〜16文字",""
"38","新卒採用","採用ポジション","ビジネス職 説明文","ビジネス職の仕事内容・魅力を伝える説明文。どんな人が向いているかも触れると良い。","40〜100文字",""
"39","新卒採用","採用ポジション","エンジニア職 タイトル","エンジニア職カードのポジション名。","4〜16文字",""
"40","新卒採用","採用ポジション","エンジニア職 説明文","エンジニア職の開発内容・キャリアパスを伝える説明文。","40〜100文字",""
"41","新卒採用","採用ポジション","データサイエンス職 タイトル","データサイエンス職カードのポジション名。","4〜16文字",""
"42","新卒採用","採用ポジション","データサイエンス職 説明文","データサイエンス職の業務内容・求める人物像を説明する文。","40〜100文字",""
"43","新卒採用","採用ポジション","コーポレート職 タイトル","コーポレート職カードのポジション名。","4〜16文字",""
"44","新卒採用","採用ポジション","コーポレート職 説明文","コーポレート職の役割・裁量の大きさを伝える説明文。","40〜100文字",""
"45","新卒採用","先輩の声","先輩社員の声 セクション 見出し","先輩社員インタビューセクションの大見出し。","8〜24文字",""
"46","新卒採用","先輩の声","先輩社員の声 セクション リード文","若手メンバーのリアルな声を届けるセクションの補足文。","25〜65文字",""
"47","新卒採用","先輩の声","先輩の声 所属タグ（1人目）","1人目社員の職種・入社年。「Business / 2022年入社」のような形式で。","6〜16文字",""
"48","新卒採用","先輩の声","先輩の声 所属タグ（2人目）","2人目社員の職種・入社年。","6〜16文字",""
"49","新卒採用","先輩の声","先輩の声 所属タグ（3人目）","3人目社員の職種・入社年。","6〜16文字",""
"50","新卒採用","先輩の声","先輩の声 名前・所属（1人目）","1人目社員の名前と所属部署。「田中 ◯◯ / ビジネス本部」のような形式で。","6〜20文字",""
"51","新卒採用","先輩の声","先輩の声 名前・所属（2人目）","2人目社員の名前と所属部署。","6〜20文字",""
"52","新卒採用","先輩の声","先輩の声 名前・所属（3人目）","3人目社員の名前と所属部署。","6〜20文字",""
"53","新卒採用","選考フロー","選考フロー セクション 見出し","選考ステップを紹介するセクションの大見出し。","8〜24文字",""
"54","新卒採用","選考フロー","選考フロー セクション リード文","選考の流れ・期間の目安などを補足する一文。","25〜65文字",""
"55","新卒採用","選考フロー","選考ステップ①タイトル","1番目のステップ名。「エントリー」「書類選考」など。","4〜12文字",""
"56","新卒採用","選考フロー","選考ステップ①説明","1番目のステップの補足説明。","12〜40文字",""
"57","新卒採用","選考フロー","選考ステップ②タイトル","2番目のステップ名。","4〜12文字",""
"58","新卒採用","選考フロー","選考ステップ②説明","2番目のステップの補足説明。","12〜40文字",""
"59","新卒採用","選考フロー","選考ステップ③タイトル","3番目のステップ名。","4〜12文字",""
"60","新卒採用","選考フロー","選考ステップ③説明","3番目のステップの補足説明。","12〜40文字",""
"61","新卒採用","選考フロー","選考ステップ④タイトル","4番目のステップ名。","4〜12文字",""
"62","新卒採用","選考フロー","選考ステップ④説明","4番目のステップの補足説明。","12〜40文字",""
"63","新卒採用","選考フロー","選考ステップ⑤タイトル","5番目のステップ名。「内定」など最終ステップ。","4〜12文字",""
"64","新卒採用","選考フロー","選考ステップ⑤説明","5番目のステップの補足説明。","12〜40文字",""
"65","新卒採用","採用スケジュール","採用スケジュール セクション 見出し","採用スケジュールセクションの大見出し。","8〜24文字",""
"66","新卒採用","採用スケジュール","採用スケジュール セクション リード文","募集期間・選考時期の概要を伝える補足文。","25〜65文字",""
"67","新卒採用","採用スケジュール","スケジュール①時期","スケジュール1行目の時期・フェーズ名。「3〜4月：エントリー受付」など。","4〜12文字",""
"68","新卒採用","採用スケジュール","スケジュール①内容","スケジュール1行目の詳細説明。","20〜70文字",""
"69","新卒採用","採用スケジュール","スケジュール②時期","スケジュール2行目の時期・フェーズ名。","4〜12文字",""
"70","新卒採用","採用スケジュール","スケジュール②内容","スケジュール2行目の詳細説明。","20〜70文字",""
"71","新卒採用","採用スケジュール","スケジュール③時期","スケジュール3行目の時期・フェーズ名。","4〜12文字",""
"72","新卒採用","採用スケジュール","スケジュール③内容","スケジュール3行目の詳細説明。","20〜70文字",""
"73","新卒採用","採用スケジュール","スケジュール④時期","スケジュール4行目の時期・フェーズ名。","4〜12文字",""
"74","新卒採用","採用スケジュール","スケジュール④内容","スケジュール4行目の詳細説明。","20〜70文字",""
"75","新卒採用","採用スケジュール","スケジュール⑤時期","スケジュール5行目の時期・フェーズ名。","4〜12文字",""
"76","新卒採用","採用スケジュール","スケジュール⑤内容","スケジュール5行目の詳細説明。","20〜70文字",""
"77","新卒採用","FAQ","FAQ セクション 見出し","よくある質問セクションの大見出し。","8〜24文字",""
"78","新卒採用","FAQ","FAQ①質問","1問目のよくある質問文。学生が実際に気になる疑問を。","15〜38文字",""
"79","新卒採用","FAQ","FAQ①回答","1問目の回答文。正確かつ安心感を与える内容で。","60〜200文字",""
"80","新卒採用","FAQ","FAQ②質問","2問目のよくある質問文。","15〜38文字",""
"81","新卒採用","FAQ","FAQ②回答","2問目の回答文。","60〜200文字",""
"82","新卒採用","FAQ","FAQ③質問","3問目のよくある質問文。","15〜38文字",""
"83","新卒採用","FAQ","FAQ③回答","3問目の回答文。","60〜200文字",""
"84","新卒採用","FAQ","FAQ④質問","4問目のよくある質問文。","15〜38文字",""
"85","新卒採用","FAQ","FAQ④回答","4問目の回答文。","60〜200文字",""
"86","新卒採用","FAQ","FAQ⑤質問","5問目のよくある質問文。","15〜38文字",""
"87","新卒採用","FAQ","FAQ⑤回答","5問目の回答文。","60〜200文字",""
"88","福利厚生","ヒーロー","ページタイトル","ページの大見出し。「福利厚生・制度」など、このページで何が分かるかを端的に示す。","10〜26文字",""
"89","福利厚生","ヒーロー","ヒーロー リード文","福利厚生ページのイントロ文。Urumoの福利厚生に対する姿勢・考え方を伝える。カフェテリア型制度の概要もここで触れる。","30〜55文字",""
"90","福利厚生","福利厚生一覧","交通費支給 説明文","交通費支給の内容説明。支給条件・上限など具体的な数値があると信頼感が出る。","25〜65文字",""
"91","福利厚生","福利厚生一覧","ランチ手当 説明文","ランチ手当の説明。金額・頻度・目的（コミュニケーション促進など）を端的に。","25〜65文字",""
"92","福利厚生","福利厚生一覧","結婚祝い金 説明文","結婚祝い金の内容。支給条件・金額の概要を簡潔に。","25〜65文字",""
"93","福利厚生","福利厚生一覧","出産祝い金 説明文","出産祝い金の内容説明。","25〜65文字",""
"94","福利厚生","福利厚生一覧","リモートワーク制度 説明文","リモートワーク制度の詳細。フル/ハイブリッドの別、出社頻度の目安など。","25〜65文字",""
"95","福利厚生","福利厚生一覧","借上社宅制度 説明文","借上社宅制度の内容説明。法人契約による税・社会保険対策の仕組みを端的に。","25〜65文字",""
"96","福利厚生","福利厚生一覧","慶弔見舞金 説明文","慶弔見舞金の対象となるライフイベントと支給概要を端的に。","25〜65文字",""
"97","福利厚生","福利厚生一覧","書籍購入支援 説明文","書籍購入支援の内容。支援範囲・上限・目的（自己成長支援）を簡潔に。","25〜65文字",""
"98","福利厚生","福利厚生一覧","フレックスタイム制 説明文","フレックスタイム制の詳細。コアタイムの有無や働き方の柔軟性を伝える。","25〜65文字",""
"99","福利厚生","福利厚生一覧","健康診断 説明文","健康診断の頻度・負担者・オプション補助の有無など。","25〜65文字",""
"100","福利厚生","福利厚生一覧","育児・介護休業制度 説明文","育児・介護休業制度の内容。法定以上の整備状況や男性育休推進についても言及。","25〜65文字",""
"101","福利厚生","福利厚生一覧","確定拠出年金（DC）説明文","確定拠出年金制度の内容。会社掛金での資産形成サポートを端的に。","25〜65文字",""
"102","福利厚生","制度","評価制度 説明文","評価制度の概要説明。評価軸・頻度・フィードバックの仕組みなど、透明性・公平性が伝わる内容に。","25〜65文字",""
"103","福利厚生","注記","注記テキスト","制度の補足注記。「一部抜粋」である旨、適用条件の違いに関する注釈。最新情報は選考過程で確認できる旨を明記。","20〜60文字",""
"104","ナンバーズ","ヒーロー","ページ見出し","「数字で見るUrumo」など、ページの目的を一言で表すタイトル。","10〜26文字",""
"105","ナンバーズ","ヒーロー","ヒーロー リード文","このページが何を伝えるページかを説明する一文。組織・働き方・カルチャーのデータを数字で紹介する旨を。","30〜55文字",""
"106","ナンバーズ","主要KPI","KPI ① 数値","グループ全従業員数などの主要数値。実際の数字に置き換える。","3〜6文字（数字）",""
"107","ナンバーズ","主要KPI","KPI ① ラベル","数値の説明ラベル。何の数字かを一目でわかるように。","5〜14文字",""
"108","ナンバーズ","主要KPI","KPI ② 数値","エンジニア・デザイナー比率など。","3〜6文字（数字）",""
"109","ナンバーズ","主要KPI","KPI ② ラベル","KPI②の説明ラベル。","5〜14文字",""
"110","ナンバーズ","主要KPI","KPI ③ 数値","メンバーの出身国籍数など。","3〜6文字（数字）",""
"111","ナンバーズ","主要KPI","KPI ③ ラベル","KPI③の説明ラベル。","5〜14文字",""
"112","ナンバーズ","主要KPI","KPI ④ 数値","創業年・設立周年など。","3〜6文字（数字）",""
"113","ナンバーズ","主要KPI","KPI ④ ラベル","KPI④の説明ラベル。","5〜14文字",""
"114","よくある質問（Q&A）","ヒーロー","ページタイトル","よくある質問ページのタイトル。シンプルに「よくある質問」等。","10〜26文字",""
"115","よくある質問（Q&A）","ヒーロー","ヒーロー リード文","FAQページのイントロ文。どんな質問が掲載されているか、掲載外の質問の問い合わせ先も案内する。","80〜120文字",""
"116","よくある質問（Q&A）","問い合わせ誘導","問い合わせ誘導 見出し","一覧で解決しなかった場合の問い合わせ誘導ブロックの見出し。気軽さ・親切さを伝える。","12〜28文字",""
"117","よくある質問（Q&A）","問い合わせ誘導","問い合わせ誘導 説明文","採用担当が直接対応することを伝える補足文。","25〜60文字",""
"118","よくある質問（Q&A）","応募・選考について","応募・選考 セクション ラベル","カテゴリ見出しラベル。「応募・選考について」等。","6〜16文字",""
"119","よくある質問（Q&A）","応募・選考について","応募・選考 Q1 質問","必要な資格・経験に関する質問文。","15〜38文字",""
"120","よくある質問（Q&A）","応募・選考について","応募・選考 Q1 回答","資格・経験要件の回答。職種ごとの違いを丁寧に説明する。","60〜200文字",""
"121","よくある質問（Q&A）","応募・選考について","応募・選考 Q2 質問","選考フローに関する質問文。","15〜38文字",""
"122","よくある質問（Q&A）","応募・選考について","応募・選考 Q2 回答","選考ステップを順を追って説明する回答。カジュアル面談の位置づけも明記。","60〜200文字",""
"123","よくある質問（Q&A）","応募・選考について","応募・選考 Q3 質問","選考期間に関する質問文。","15〜38文字",""
"124","よくある質問（Q&A）","応募・選考について","応募・選考 Q3 回答","平均的な選考期間と柔軟対応を伝える回答。","60〜200文字",""
"125","よくある質問（Q&A）","応募・選考について","応募・選考 Q4 質問","複数ポジションへの同時応募に関する質問文。","15〜38文字",""
"126","よくある質問（Q&A）","応募・選考について","応募・選考 Q4 回答","同時応募可否と変更時の対応を説明する回答。","60〜200文字",""
"127","よくある質問（Q&A）","応募・選考について","応募・選考 Q5 質問","カジュアル面談の影響に関する質問文。","15〜38文字",""
"128","よくある質問（Q&A）","応募・選考について","応募・選考 Q5 回答","カジュアル面談は選考と切り離されていることを伝える回答。","60〜200文字",""
"129","よくある質問（Q&A）","応募・選考について","応募・選考 Q6 質問","再応募可否に関する質問文。","15〜38文字",""
"130","よくある質問（Q&A）","応募・選考について","応募・選考 Q6 回答","不採用後の再応募条件を前向きに伝える回答。","60〜200文字",""
"131","よくある質問（Q&A）","働き方・環境について","働き方・環境 セクション ラベル","カテゴリ見出しラベル。「働き方・環境について」等。","6〜16文字",""
"132","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q1 質問","リモートワーク可否に関する質問文。","15〜38文字",""
"133","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q1 回答","リモートワークの頻度・条件を説明する回答。","60〜200文字",""
"134","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q2 質問","フレックスタイム制に関する質問文。","15〜38文字",""
"135","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q2 回答","フルフレックスの仕組みを伝える回答。","60〜200文字",""
"136","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q3 質問","副業・兼業の可否に関する質問文。","15〜38文字",""
"137","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q3 回答","副業許可の条件・範囲を説明する回答。","60〜200文字",""
"138","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q4 質問","育休・産休制度に関する質問文。","15〜38文字",""
"139","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q4 回答","育児・介護休業制度と男性育休の実績を伝える回答。取得率の数字を入れる。","60〜200文字",""
"140","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q5 質問","勤務地に関する質問文。","15〜38文字",""
"141","よくある質問（Q&A）","働き方・環境について","働き方・環境 Q5 回答","本社所在地と拠点情報を説明する回答。","60〜200文字",""
"142","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 セクション ラベル","カテゴリ見出しラベル。「キャリア・成長について」等。","6〜16文字",""
"143","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q1 質問","キャリアパスに関する質問文。","15〜38文字",""
"144","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q1 回答","スペシャリスト・マネージャーコースを説明する回答。自己選択できることも伝える。","60〜200文字",""
"145","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q2 質問","社内異動・公募制度に関する質問文。","15〜38文字",""
"146","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q2 回答","社内公募制度の仕組みと実績件数を伝える回答。","60〜200文字",""
"147","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q3 質問","学習・成長支援制度に関する質問文。","15〜38文字",""
"148","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q3 回答","書籍購入・セミナー補助・勉強会など複数の制度を紹介する回答。","60〜200文字",""
"149","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q4 質問","評価制度に関する質問文。","15〜38文字",""
"150","よくある質問（Q&A）","キャリア・成長について","キャリア・成長 Q4 回答","半期評価・3軸評価・1on1フィードバックの仕組みを説明する回答。","60〜200文字",""
"151","よくある質問（Q&A）","カルチャーについて","カルチャー セクション ラベル","カテゴリ見出しラベル。「カルチャーについて」等。","6〜16文字",""
"152","よくある質問（Q&A）","カルチャーについて","カルチャー Q1 質問","社員の平均年齢・年齢層に関する質問文。","15〜38文字",""
"153","よくある質問（Q&A）","カルチャーについて","カルチャー Q1 回答","平均年齢と年齢構成・裁量の大きさを伝える回答。数字を具体的に入れる。","60〜200文字",""
"154","よくある質問（Q&A）","カルチャーについて","カルチャー Q2 質問","社内コミュニケーションの雰囲気に関する質問文。","15〜38文字",""
"155","よくある質問（Q&A）","カルチャーについて","カルチャー Q2 回答","フラットな社風・Slack・Allハンズ・ランチ会などを紹介する回答。","60〜200文字",""
"156","よくある質問（Q&A）","カルチャーについて","カルチャー Q3 質問","ダイバーシティへの取り組みに関する質問文。","15〜38文字",""
"157","よくある質問（Q&A）","カルチャーについて","カルチャー Q3 回答","認定取得実績と多様性推進の姿勢を伝える回答。","60〜200文字",""
"158","よくある質問（Q&A）","カルチャーについて","カルチャー Q4 質問","Culture Deck・Mission・Visionの確認方法に関する質問文。","15〜38文字",""
"159","よくある質問（Q&A）","カルチャーについて","カルチャー Q4 回答","カルチャーページへの誘導とMVVの説明を伝える回答。","60〜200文字",""
"160","よくある質問（Q&A）","新卒採用について","新卒採用 セクション ラベル","カテゴリ見出しラベル。「新卒採用について」等。","6〜16文字",""
"161","よくある質問（Q&A）","新卒採用について","新卒採用 Q1 質問","文系学生の応募可否に関する質問文。","15〜38文字",""
"162","よくある質問（Q&A）","新卒採用について","新卒採用 Q1 回答","文系・理系どちらも活躍できることを伝える回答。職種ごとの違いも説明。","60〜200文字",""
"163","よくある質問（Q&A）","新卒採用について","新卒採用 Q2 質問","インターンから本採用への切り替えに関する質問文。","15〜38文字",""
"164","よくある質問（Q&A）","新卒採用について","新卒採用 Q2 回答","早期内定コースの仕組みを説明する回答。","60〜200文字",""
"165","よくある質問（Q&A）","新卒採用について","新卒採用 Q3 質問","配属先の決め方に関する質問文。","15〜38文字",""
"166","よくある質問（Q&A）","新卒採用について","新卒採用 Q3 回答","希望尊重の配属方針とジョブチェンジ制度を伝える回答。","60〜200文字",""
"167","よくある質問（Q&A）","新卒採用について","新卒採用 Q4 質問","採用スケジュールに関する質問文。","15〜38文字",""
"168","よくある質問（Q&A）","新卒採用について","新卒採用 Q4 回答","新卒採用ページへの誘導とエントリー受付中であることを伝える回答。","60〜200文字",""